City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
247,bereeda,11.8704,51.0579,87.87,59,65,1.74,SO,1716659148
248,timbuktu,16.7735,-3.0074,109.92,8,34,1.81,ML,1716659148
249,waingapu,-9.6567,120.2641,76.68,87,62,9.46,ID,1716659149
250,ndago,-4.6,34.35,71.11,53,100,8.5,TZ,1716659149
251,vrangel',42.7297,133.0839,51.39,75,100,3.0,RU,1716659150
252,midvagur,62.0511,-7.1939,50.83,100,100,12.66,FO,1716659150
253,gazojak,41.1875,61.4036,59.25,22,9,17.56,TM,1716659151
254,ilheus,-14.7889,-39.0494,78.62,89,75,9.22,BR,1716659048
255,susuman,62.7833,148.1667,39.97,59,15,4.0,RU,1716659152
256,ballina,-28.8667,153.5667,58.78,92,43,6.44,AU,1716659153
257,hasaki,35.7333,140.8333,61.2,59,88,6.08,JP,1716659153
258,chiquimulilla,14.0858,-90.3767,91.51,51,25,7.76,GT,1716659154
259,villa gesell,-37.2639,-56.973,50.05,61,79,16.49,AR,1716659154
260,geraldton,-28.7667,114.6,57.61,88,0,10.36,AU,1716659155
261,chul'man,56.8479,124.9104,45.28,86,42,5.01,RU,1716659156
262,isla mujeres,21.2311,-86.731,87.85,66,0,13.65,MX,1716659157
263,carmarthen,51.8555,-4.3054,59.9,72,100,12.66,GB,1716659157
264,amahai,-3.3333,128.9167,78.04,93,100,4.43,ID,1716659158
265,enewetak,11.3474,162.3373,82.58,84,94,15.37,MH,1716659159
266,homer,59.6425,-151.5483,44.49,88,100,3.44,US,1716659159
267,svetlyy,54.675,20.1347,68.05,88,55,11.79,RU,1716659160
268,napier,-39.4833,176.9167,56.28,62,58,5.99,NZ,1716658989
269,gandajika,-6.75,23.95,78.62,43,86,3.02,CD,1716659161
270,fortuna,40.5982,-124.1573,56.98,81,100,14.97,US,1716659162
271,great falls,47.5002,-111.3008,60.67,48,40,11.5,US,1716659162
272,kiunga,-6.1219,141.2906,75.33,100,82,2.68,PG,1716659163
273,kisi,9.0833,3.85,74.3,79,93,3.89,NG,1716659163
274,ola,59.5833,151.2833,47.14,72,87,12.41,RU,1716659164
275,kharabali,47.4196,47.2568,59.27,39,78,11.41,RU,1716659164
276,pontes e lacerda,-15.2261,-59.3353,66.74,54,100,8.5,BR,1716659001
277,morondava,-20.2833,44.2833,75.4,73,9,13.98,MG,1716659166
278,akureyri,65.6835,-18.0878,62.53,55,40,19.57,IS,1716659005
279,buta,2.7858,24.73,71.31,98,78,1.52,CD,1716659167
280,izmail,45.3493,28.8408,64.69,53,60,8.34,UA,1716659167
281,utrik,11.2278,169.8474,81.5,81,96,17.27,MH,1716659168
282,cloquet,46.7216,-92.4594,65.68,51,0,13.8,US,1716659169
283,saint-philippe,-21.3585,55.7679,71.19,87,58,10.92,RE,1716659169
284,kourou,5.1552,-52.6478,77.05,78,65,6.22,GF,1716659170
285,suva,-18.1416,178.4415,74.68,100,75,5.75,FJ,1716659170
286,la sarre,48.8002,-79.1996,61.27,47,100,6.8,CA,1716659171
287,itoman,26.1247,127.6694,79.18,94,75,8.05,JP,1716659171
288,plyeshchanitsy,54.4222,27.8331,61.77,79,60,5.55,BY,1716659172
289,saint-pierre,-21.3393,55.4781,71.28,88,75,3.44,RE,1716659172
290,piacabucu,-10.4056,-36.4344,81.72,67,83,10.09,BR,1716659173
